Id,Name,MoveType,MoveFamily,NumberOfBeats,DifficultyLevel,Lead connection,follower connection,Source event / lesson / workshop,Link to Notes,Link to Video,Link to Practice Video
1,uphold basic,Move,Basic,,,,,,,,
2,downhold basic,Move,Basic,,,,,,,,
3,ad libs,Move,Basic,,,,,,,,
4,paddles,Move,Basic,,,,,,,,
5,progressives,Move,Basic,,,,,,,,
6,serpentines,Move,Basic,,,,,,,,
7,drags,Move,Basic,,,,,,,,
8,triple step drags,Move,Basic,,,,,,,,
9,lollies,Move,Lollie,,,,,,,,
10,lollies with outside turn,Move,Lollie,,,,,,,,
11,come around,Move,Basic,,,,,,,,
12,toss out,Move,TossOut,,,,,,,,
13,reverse toss out,Move,TossOut,,,,,,,,
14,behind the back toss out,Move,TossOut,,,,,,,,
15,off hand toss out,Move,TossOut,,,,,,,,
16,handshake toss out,Move,TossOut,,,,,,,,
17,double hand toss out,Move,TossOut,,,,,,,,
18,texas tommy,Modifier,FancyMove,,,,,,,,
19,maxi slide,Move,FancyMove,,,,,,,,
20,hal's roll,Move,FancyMove,,,,,,,,
21,texas tommy lollies,Modifier,Lollie,,,,,,,,
22,elbow catch,Modifier,Redirect,,,,,,,,
23,sailor shuffles,Move,OutAndIn,,,,,,,,
24,out and in,Move,OutAndIn,,,,,,,,
25,out and in rotational,Move,OutAndIn,,,,,,,,
26,out and in down the line,Move,OutAndIn,,,,,,,,
27,out and in stop,Move,OutAndIn,,,,,,,,
28,out and in stop bring back in,Move,OutAndIn,,,,,,,,
29,out and in stop follow turn,Move,OutAndIn,,,,,,,,
30,out and in stop follow turn and lead turn,Move,OutAndIn,,,,,,,,
31,out and in stop follow lead slide,Move,OutAndIn,,,,,,,,
32,out and in stop follow lead pivot down line,Move,OutAndIn,,,,,,,,
33,out and in stop follow lead triple step pivot redirect follow,Move,OutAndIn,,,,,,,,
34,out and in stop with down up,Move,OutAndIn,,,,,,,,
35,pivots,Move,Pivot,,,,,,,,
36,back pivots,Move,Pivot,,,,,,,,
37,back pivot exit with BTB tossout,Move,Pivot,,,,,,,,